frequency,power
52000000.000000,-117.143288
52005446.623094,-115.055763
52010893.246187,-112.587341
52016339.869281,-111.755753
52021786.492375,-110.583725
52027233.115468,-111.326187
52032679.738562,-113.967270
52038126.361656,-111.704880
52043572.984749,-110.201836
52049019.607843,-111.462952
52054466.230937,-115.200203
52059912.854030,-112.661934
52065359.477124,-112.147514
52070806.100218,-112.787628
52076252.723312,-111.770477
52081699.346405,-114.646828
52087145.969499,-114.813736
52092592.592593,-115.186882
52098039.215686,-114.045898
52103485.838780,-111.665718
52108932.461874,-113.825462
52114379.084967,-113.334167
52119825.708061,-113.088646
52125272.331155,-116.823235
52130718.954248,-116.750069
52136165.577342,-117.983963
52141612.200436,-115.908241
52147058.823529,-106.446037
52152505.446623,-115.753387
52157952.069717,-111.864204
52163398.692810,-112.776405
52168845.315904,-117.022255
52174291.938998,-114.217163
52179738.562091,-112.160683
52185185.185185,-116.223183
52190631.808279,-117.500450
52196078.431373,-113.177109
52201525.054466,-115.591476
52206971.677560,-111.589966
52212418.300654,-115.450302
52217864.923747,-112.997787
52223311.546841,-119.854080
52228758.169935,-113.220970
52234204.793028,-113.759720
52239651.416122,-113.258255
52245098.039216,-114.687912
52250544.662309,-107.938271
52255991.285403,-114.189293
52261437.908497,-115.071426
52266884.531590,-112.579025
52272331.154684,-112.935272
52277777.777778,-112.591034
52283224.400871,-117.305267
52288671.023965,-114.016113
52294117.647059,-115.361366
52299564.270153,-109.391167
52305010.893246,-114.022339
52310457.516340,-116.715347
52315904.139434,-115.923447
52321350.762527,-114.779587
52326797.385621,-117.799759
52332244.008715,-117.907303
52337690.631808,-113.894730
52343137.254902,-110.395576
52348583.877996,-112.133057
52354030.501089,-114.389709
52359477.124183,-114.430450
52364923.747277,-116.680496
52370370.370370,-117.634041
52375816.993464,-115.669525
52381263.616558,-117.204178
52386710.239651,-113.472054
52392156.862745,-111.816170
52397603.485839,-113.414093
52403050.108932,-112.652740
52408496.732026,-110.367393
52413943.355120,-114.972778
52419389.978214,-117.612572
52424836.601307,-115.419174
52430283.224401,-112.616661
52435729.847495,-109.797546
52441176.470588,-113.099762
52446623.093682,-117.130272
52452069.716776,-111.759712
52457516.339869,-111.642456
52462962.962963,-113.415497
52468409.586057,-108.876404
52473856.209150,-120.347321
52479302.832244,-113.121758
52484749.455338,-114.573555
52490196.078431,-115.734497
52495642.701525,-115.884613
52501089.324619,-114.195953
52506535.947712,-115.180527
52511982.570806,-115.954704
52517429.193900,-114.440277
52522875.816993,-115.731216
52528322.440087,-114.562897
52533769.063181,-119.355316
52539215.686275,-117.669754
52544662.309368,-117.625313
52550108.932462,-113.987488
52555555.555556,-115.687454
52561002.178649,-115.442802
52566448.801743,-113.779678
52571895.424837,-111.935005
52577342.047930,-106.419991
52582788.671024,-115.055397
52588235.294118,-116.302856
52593681.917211,-118.204712
52599128.540305,-114.374710
52604575.163399,-113.018921
52610021.786492,-113.939857
52615468.409586,-114.254562
52620915.032680,-112.072113
52626361.655773,-113.832924
52631808.278867,-117.627068
52637254.901961,-116.482925
52642701.525054,-115.134766
52648148.148148,-118.703110
52653594.771242,-118.704575
52659041.394336,-118.561691
52664488.017429,-108.647202
52669934.640523,-115.249832
52675381.263617,-115.211990
52680827.886710,-112.519272
52686274.509804,-116.443092
52691721.132898,-115.882965
52697167.755991,-117.053299
52702614.379085,-114.441292
52708061.002179,-109.618980
52713507.625272,-109.985107
52718954.248366,-115.481407
52724400.871460,-118.757462
52729847.494553,-113.622726
52735294.117647,-114.217537
52740740.740741,-114.542542
52746187.363834,-122.878296
52751633.986928,-114.057846
52757080.610022,-120.137604
52762527.233115,-112.303505
52767973.856209,-113.765732
52773420.479303,-113.855888
52778867.102397,-116.533768
52784313.725490,-114.945389
