x,y
0.000000000000000000e+00,0.000000000000000000e+00
3.306939635357676877e-01,3.246994692046835107e-01
6.613879270715353753e-01,6.142127126896677058e-01
9.920818906073030075e-01,8.371664782625285461e-01
1.322775854143070751e+00,9.694002659393305965e-01
1.653469817678838494e+00,9.965844930066698470e-01
1.984163781214606015e+00,9.157733266550575069e-01
2.314857744750373758e+00,7.357239106731318090e-01
2.645551708286141501e+00,4.759473930370736738e-01
2.976245671821909244e+00,1.645945902807340322e-01
3.306939635357676988e+00,-1.645945902807338102e-01
3.637633598893444731e+00,-4.759473930370734518e-01
3.968327562429212030e+00,-7.357239106731313649e-01
4.299021525964979773e+00,-9.157733266550570628e-01
4.629715489500747516e+00,-9.965844930066696250e-01
4.960409453036515259e+00,-9.694002659393307075e-01
5.291103416572283002e+00,-8.371664782625287682e-01
5.621797380108050746e+00,-6.142127126896679279e-01
5.952491343643818489e+00,-3.246994692046837883e-01
6.283185307179586232e+00,-2.449293598294706414e-16
